competition,season,unique_team_ids,unique_team_names,unique_player_ids,unique_player_names,unique_clean_names
2. Bundesliga,2025/2026,7,7,114,114,114
Bundesliga,2020/2021,18,18,494,493,493
Bundesliga,2021/2022,18,18,508,508,508
Bundesliga,2022/2023,18,18,502,502,502
Bundesliga,2023/2024,18,18,493,493,493
Bundesliga,2024/2025,18,18,481,481,481
Bundesliga,2025/2026,2,2,32,32,32
Champions League,2022/2023,32,32,719,715,715
Champions League,2023/2024,32,32,723,721,721
Champions League,2024/2025,36,36,879,879,879
Championship,2025/2026,5,5,80,80,80
Eredivisie,2025/2026,2,2,31,31,31
Europa League,2022/2023,40,40,916,912,912
Europa League,2023/2024,40,40,909,909,909
Europa League,2024/2025,36,36,914,912,912
LaLiga,2020/2021,20,20,569,567,567
LaLiga,2021/2022,20,20,599,598,598
LaLiga,2022/2023,20,20,581,579,579
LaLiga,2023/2024,20,20,598,596,596
LaLiga,2024/2025,20,20,590,587,587
Liga Portugal,2025/2026,2,2,31,31,31
Ligue 1,2020/2021,20,20,575,574,574
Ligue 1,2021/2022,20,20,591,591,591
Ligue 1,2022/2023,20,20,586,585,585
Ligue 1,2023/2024,18,18,524,523,523
Ligue 1,2024/2025,18,18,542,542,542
Premier League,2020/2021,20,20,523,523,523
Premier League,2021/2022,20,20,536,536,536
Premier League,2022/2023,20,20,554,554,554
Premier League,2023/2024,20,20,571,571,571
Premier League,2024/2025,20,20,562,562,562
Serie A,2020/2021,20,20,596,595,595
Serie A,2021/2022,20,20,609,609,609
Serie A,2022/2023,20,20,577,577,577
Serie A,2023/2024,20,20,593,593,593
Serie A,2024/2025,20,20,600,600,600
UEFA Super Cup,2022/2023,2,2,27,27,27
UEFA Super Cup,2023/2024,2,2,32,32,32
UEFA Super Cup,2024/2025,2,2,30,30,30
UEFA Women's EURO,2025,2,2,32,32,32
World Cup Qualification UEFA,2025/2026,2,2,32,32,32
