player_id,competition,season,matches_played,name,name_clean,age,position,position_full,grouped_position,position_list,position_full_list,grouped_position_list,primary_position,primary_position_full,primary_grouped_position,team_name,pass_xt_total,pass_xt_count,dribble_xt_total,dribble_xt_count,pass_xt_per90,dribble_xt_per90,total_xt,total_xt_per90,market_value_eur_m
2987,Serie A,2024/2025,12,Pepe Reina,Pepe Reina,42,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,Como,0.1863852644123763,241.0,0.0,0.0,0.015532105367698024,0.0,0.1863852644123763,0.015532105367698024,0.5
4511,Premier League,2024/2025,4,James Milner,James Milner,39,Sub,Substitute,Substitute,DR|MC,Right Back|Central Midfielder,Right Defender|Central Midfielder,MC,Central Midfielder,Central Midfielder,Brighton,0.09142128963110083,52.0,-0.013904533745972551,1.0,0.022855322407775207,-0.003476133436493138,0.07751675588512827,0.019379188971282067,1.0
6227,LaLiga,2024/2025,37,Dani Rodríguez,Dani Rodríguez,37,Sub,Substitute,Substitute,AMC|AML|FW|MC|ML|MR,Attacking Midfielder|Left Attacking Midfielder|Striker|Central Midfielder|Left Midfielder|Right Midfielder,Attacking Midfielder|Left Winger|Striker|Central Midfielder,MC,Central Midfielder,Central Midfielder,Mallorca,2.1736007490557565,478.0,-0.026958577422681318,16.0,0.05874596619069612,-0.0007286102006130086,2.1466421716330752,0.05801735599008311,0.8
6683,Europa League,2024/2025,3,Dante,Dante,41,DC,Centre-Back,Centre-Back,DC,Centre-Back,Centre-Back,DC,Centre-Back,Centre-Back,Nice,0.2206865757561744,186.0,0.007096458839225059,1.0,0.0735621919187248,0.0023654862797416864,0.22778303459539945,0.07592767819846648,
6683,Ligue 1,2024/2025,25,Dante,Dante,41,DC,Centre-Back,Centre-Back,DC,Centre-Back,Centre-Back,DC,Centre-Back,Centre-Back,Nice,1.1558362332954122,1243.0,-0.030631488295759113,6.0,0.04623344933181649,-0.0012252595318303645,1.1252047449996532,0.04500818979998613,0.5
8166,Premier League,2024/2025,32,Ashley Young,Ashley Young,40,DR,Right Back,Right Defender,DL|DML|DR|MR,Left Back|Left Defensive Midfielder|Right Back|Right Midfielder,Left Defender|Defensive Midfielder|Right Defender|Central Midfielder,DR,Right Back,Right Defender,Everton,3.1895743957764653,710.0,0.029222234820284534,7.0,0.09967419986801454,0.0009131948381338917,3.2187966305967497,0.10058739470614843,0.5
9270,LaLiga,2024/2025,24,Abdón Prats,Abdón Prats,32,Sub,Substitute,Substitute,FW,Striker,Striker,FW,Striker,Striker,Mallorca,0.05439431085617863,59.0,0.0030902201329242856,1.0,0.002266429619007443,0.00012875917220517858,0.05748453098910292,0.0023951887912126214,1.2
9446,LaLiga,2024/2025,15,Jesús Navas,Jesús Navas,39,Sub,Substitute,Substitute,DMR|DR,Right Defensive Midfielder|Right Back,Defensive Midfielder|Right Defender,DR,Right Back,Right Defender,Sevilla,0.7387248960864377,203.0,-0.007557084899945883,4.0,0.04924832640576251,-0.0005038056599963922,0.7311678111864918,0.048744520745766115,
10372,Serie A,2024/2025,1,Daniele Padelli,Daniele Padelli,39,Sub,Substitute,Substitute,Sub,Substitute,Substitute,Sub,Substitute,Substitute,Udinese,0.005824609803039676,13.0,0.0,0.0,0.005824609803039676,0.0,0.005824609803039676,0.005824609803039676,0.15
10454,Ligue 1,2024/2025,28,Djibril Sidibé,Djibril Sidibé,32,DMR,Right Defensive Midfielder,Defensive Midfielder,DC|DR,Centre-Back|Right Back,Centre-Back|Right Defender,DR,Right Back,Right Defender,Toulouse,2.9615713816492977,1014.0,-0.009649235156297892,11.0,0.10577040648747492,-0.0003446155412963533,2.9519221464929997,0.10542579094617856,1.0
12575,LaLiga,2024/2025,15,Raúl Albiol,Raúl Albiol,39,Sub,Substitute,Substitute,DC,Centre-Back,Centre-Back,DC,Centre-Back,Centre-Back,Villarreal,0.5218871152872854,717.0,0.0,0.0,0.03479247435248569,0.0,0.5218871152872854,0.03479247435248569,1.0
13754,Bundesliga,2024/2025,22,Manuel Neuer,Manuel Neuer,39,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,Bayern Munich,0.4321998869482298,736.0,0.0,1.0,0.01964544940673772,0.0,0.4321998869482298,0.01964544940673772,4.0
13754,Champions League,2024/2025,10,Manuel Neuer,Manuel Neuer,39,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,Bayern Munich,0.20556434070138865,304.0,0.00034693719036272435,1.0,0.020556434070138865,3.469371903627243e-05,0.20591127789175137,0.020591127789175136,
15243,Europa League,2024/2025,3,Johan Dahlin,Johan Dahlin,38,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,Malmoe FF,0.002850101208814395,28.0,0.0,0.0,0.000950033736271465,0.0,0.002850101208814395,0.000950033736271465,
16161,Europa League,2024/2025,6,João Moutinho,João Moutinho,38,DMC,Defensive Midfielder,Defensive Midfielder,AMC|DMC|MC,Attacking Midfielder|Defensive Midfielder|Central Midfielder,Attacking Midfielder|Defensive Midfielder|Central Midfielder,MC,Central Midfielder,Central Midfielder,Braga,0.23264722875786908,245.0,-0.013905474587808804,1.0,0.038774538126311514,-0.002317579097968134,0.21874175417006028,0.03645695902834338,
16942,LaLiga,2024/2025,19,Óscar Trejo,Óscar Trejo,37,Sub,Substitute,Substitute,AMC|FW,Attacking Midfielder|Striker,Attacking Midfielder|Striker,AMC,Attacking Midfielder,Attacking Midfielder,Rayo Vallecano,0.4197132875752255,263.0,0.014657661162736021,9.0,0.022090173030275027,0.000771455850670317,0.43437094873796156,0.022861628880945346,0.5
19545,Champions League,2024/2025,10,Kasper Schmeichel,Kasper Schmeichel,38,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,Celtic,0.07534053551031503,285.0,0.0,0.0,0.007534053551031502,0.0,0.07534053551031503,0.007534053551031502,
19580,Serie A,2024/2025,18,Lorenzo De Silvestri,Lorenzo De Silvestri,37,Sub,Substitute,Substitute,DMR|DR|MR,Right Defensive Midfielder|Right Back|Right Midfielder,Defensive Midfielder|Right Defender|Central Midfielder,DR,Right Back,Right Defender,Bologna,1.113596292412824,446.0,0.00015573440259210292,1.0,0.06186646068960133,8.65191125511683e-06,1.1137520268154162,0.06187511260085646,0.8
19910,Bundesliga,2024/2025,1,Norman Theuerkauf,Norman Theuerkauf,38,Sub,Substitute,Substitute,DMC,Defensive Midfielder,Defensive Midfielder,DMC,Defensive Midfielder,Defensive Midfielder,FC Heidenheim,0.022438682723815027,17.0,0.0,0.0,0.022438682723815027,0.0,0.022438682723815027,0.022438682723815027,0.175
20089,Europa League,2024/2025,5,Søren Rieks,Søren Rieks,38,Sub,Substitute,Substitute,Sub,Substitute,Substitute,Sub,Substitute,Substitute,Malmoe FF,0.015651246104097707,23.0,0.0433930963318691,2.0,0.0031302492208195414,0.00867861926637382,0.059044342435966804,0.01180886848719336,
20874,Champions League,2024/2025,14,Luka Modric,Luka Modric,39,MC,Central Midfielder,Central Midfielder,AMC|DMC|MC,Attacking Midfielder|Defensive Midfielder|Central Midfielder,Attacking Midfielder|Defensive Midfielder|Central Midfielder,MC,Central Midfielder,Central Midfielder,Real Madrid,0.9560705171762761,584.0,0.005523746988527591,6.0,0.06829075122687686,0.00039455335632339935,0.9615942641648038,0.06868530458320027,
20874,LaLiga,2024/2025,35,Luka Modric,Luka Modric,39,MC,Central Midfielder,Central Midfielder,AMC|DMC|MC,Attacking Midfielder|Defensive Midfielder|Central Midfielder,Attacking Midfielder|Defensive Midfielder|Central Midfielder,MC,Central Midfielder,Central Midfielder,Real Madrid,3.6792844067112647,1677.0,-0.016100465263491008,14.0,0.10512241162032185,-0.00046001329324260023,3.6631839414477736,0.10466239832707924,4.0
20973,Premier League,2024/2025,14,Lukasz Fabianski,Lukasz Fabianski,40,Sub,Substitute,Substitute,GK,Goalkeeper,Goalkeeper,GK,Goalkeeper,Goalkeeper,West Ham,0.21992573880265678,271.0,2.0261841630661147e-06,3.0,0.015708981343046914,1.447274402190082e-07,0.21992776498681985,0.01570912607048713,0.5
21541,Europa League,2024/2025,5,Mats Hummels,Mats Hummels,36,Sub,Substitute,Substitute,DC,Centre-Back,Centre-Back,DC,Centre-Back,Centre-Back,Roma,0.1940282433926246,217.0,0.0,0.0,0.038805648678524915,0.0,0.1940282433926246,0.038805648678524915,
21541,Serie A,2024/2025,14,Mats Hummels,Mats Hummels,36,Sub,Substitute,Substitute,DC,Centre-Back,Centre-Back,DC,Centre-Back,Centre-Back,Roma,0.30329905091775755,387.0,0.013953696435553336,4.0,0.021664217922696967,0.0009966926025395241,0.3172527473533109,0.022660910525236493,2.0
